PI+572632	14-Jan-1992
PI+572636	14-Jan-1992
PI+572645	14-Jan-1992
PI+572650	14-Jan-1992
PI+572730	26-Jun-1990
PI+572794	26-Mar-1990
PI+572822	26-Mar-1990
PI+574249	18-May-1992
PI+574250	18-May-1992
PI+574320	01-Oct-1992
PI+574344	18-Sep-1992
PI+574346	18-Sep-1992
PI+574347	18-Sep-1992
PI+574348	18-Sep-1992
PI+574350	18-Sep-1992
PI+574356	16-Sep-1992
PI+574501	28-Oct-1993
PI+576639	14-Jan-1994
PI+577755	Jul-1982
PI+577770	Jul-1982
PI+577777	Jul-1982
PI+583670	1963
PI+583681	1981
PI+583694	1983
PI+583705	1983
PI+583715	1983
PI+583717	1983
PI+591867	24-Dec-1991
PI+591932	23-Jun-1994
PI+591942	06-Jun-1994
PI+592026	29-Jul-1994
PI+593658	13-Feb-1996
PI+595213	1978
PI+600836	1982
PI+610755	16-Jul-1999
PI+613289	30-May-2000
PI+613296	30-May-2000
PI+613317	30-May-2000
PI+613323	30-May-2000
PI+614012	24-Jul-2000
PI+614015	24-Jul-2000
PI+614017	24-Jul-2000
PI+614038	24-Jul-2000
PI+614040	24-Jul-2000
PI+619369	24-Aug-2001
PI+620713	15-Dec-1998
PI+620714	15-Dec-1998
PI+620747	15-Dec-1998
PI+623086	23-Oct-1997
PI+623352	23-Oct-1997
PI+623366	23-Oct-1997
PI+623378	23-Oct-1997
PI+623426	23-Oct-1997
PI+623452	23-Oct-1997
PI+623524	23-Oct-1997
PI+623585	23-Oct-1997
PI+623684	23-Oct-1997
PI+623756	23-Oct-1997
PI+623758	23-Oct-1997
PI+623766	23-Oct-1997
PI+623820	23-Oct-1997
PI+623829	23-Oct-1997
PI+623876	23-Oct-1997
PI+623968	23-Oct-1997
PI+624023	23-Oct-1997
PI+624182	23-Oct-1997
PI+624190	23-Oct-1997
PI+624198	23-Oct-1997
PI+624215	23-Oct-1997
PI+624226	23-Oct-1997
PI+624279	23-Oct-1997
PI+624306	23-Oct-1997
PI+624336	23-Oct-1997
PI+624406	23-Oct-1997
PI+624480	23-Oct-1997
